2026-09-03 08:44:21,281 INFO cli={'dataset': 'amazon', 'method': 'outpost', 'seed': 8, 'train_seed': None, 'epochs': None, 'set': ['sim_topk_frac=1.0'], 'tag': 'A_sim1.0', 'rotations': None}
2026-09-03 08:44:21,281 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 25, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 1.0}
2026-09-03 08:44:33,141 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.6282852144633846, 'aupr_all': 0.11934865645472031, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6432432432432432} best={'auroc_all': 0.6282852144633846, 'aupr_all': 0.11934865645472031, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:44:33,433 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.6611218064878516, 'aupr_all': 0.1526373904336302, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6492492492492492} best={'auroc_all': 0.6611218064878516, 'aupr_all': 0.1526373904336302, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:44:33,700 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.6113823675485577, 'aupr_all': 0.13439590974072174, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6132132132132131} best={'auroc_all': 0.6611218064878516, 'aupr_all': 0.1526373904336302, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:44:33,951 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5723214405562491, 'aupr_all': 0.14414102569981016, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5447447447447448} best={'auroc_all': 0.6611218064878516, 'aupr_all': 0.1526373904336302, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:44:34,195 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5586634100406097, 'aupr_all': 0.10916232286076748, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5348348348348348} best={'auroc_all': 0.6611218064878516, 'aupr_all': 0.1526373904336302, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:44:34,451 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5570788508260823, 'aupr_all': 0.0878193635782659, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5312312312312312} best={'auroc_all': 0.6611218064878516, 'aupr_all': 0.1526373904336302, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:44:34,726 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5615268325749339, 'aupr_all': 0.08120522180202139, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.53003003003003} best={'auroc_all': 0.6611218064878516, 'aupr_all': 0.1526373904336302, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:44:34,974 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.5744929333073134, 'aupr_all': 0.08955604473238615, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5387387387387388} best={'auroc_all': 0.6611218064878516, 'aupr_all': 0.1526373904336302, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:44:35,230 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.5971144295173813, 'aupr_all': 0.09353572030641398, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.56006006006006} best={'auroc_all': 0.6611218064878516, 'aupr_all': 0.1526373904336302, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:44:35,637 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.6092727625667665, 'aupr_all': 0.10242597317844113, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5924924924924926} best={'auroc_all': 0.6611218064878516, 'aupr_all': 0.1526373904336302, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:44:36,773 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.6228649687605512, 'aupr_all': 0.10467131546379636, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5927927927927928} best={'auroc_all': 0.6611218064878516, 'aupr_all': 0.1526373904336302, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:44:37,937 INFO [OUTPOST-v4] epoch 11 cur={'auroc_all': 0.6198202712065314, 'aupr_all': 0.10042151592204104, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5762762762762763} best={'auroc_all': 0.6611218064878516, 'aupr_all': 0.1526373904336302, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:44:39,089 INFO [OUTPOST-v4] epoch 12 cur={'auroc_all': 0.6155543388811621, 'aupr_all': 0.0983369037856685, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5666666666666667} best={'auroc_all': 0.6611218064878516, 'aupr_all': 0.1526373904336302, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
