2026-09-03 08:44:36,229 INFO cli={'dataset': 'amazon', 'method': 'outpost', 'seed': 42, 'train_seed': None, 'epochs': None, 'set': ['sim_topk_frac=1.0'], 'tag': 'A_sim1.0', 'rotations': None}
2026-09-03 08:44:36,229 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 25, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 1.0}
2026-09-03 08:44:47,396 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.2625032008689843, 'aupr_all': 0.04153054973048798, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.306006006006006} best={'auroc_all': 0.2625032008689843, 'aupr_all': 0.04153054973048798, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:44:47,623 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.4184763192484773, 'aupr_all': 0.05163962367552861, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.46426426426426426} best={'auroc_all': 0.4184763192484773, 'aupr_all': 0.05163962367552861, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:44:47,832 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.43670978546950034, 'aupr_all': 0.05314376265987129, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.47927927927927927} best={'auroc_all': 0.43670978546950034, 'aupr_all': 0.05314376265987129, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:44:48,041 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.4486033369575431, 'aupr_all': 0.05414950498042928, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4897897897897897} best={'auroc_all': 0.4486033369575431, 'aupr_all': 0.05414950498042928, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:44:48,267 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.45991298799054603, 'aupr_all': 0.05517591763208818, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.502102102102102} best={'auroc_all': 0.45991298799054603, 'aupr_all': 0.05517591763208818, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:44:48,507 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.4704101603841869, 'aupr_all': 0.056212559132973815, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5156156156156156} best={'auroc_all': 0.4704101603841869, 'aupr_all': 0.056212559132973815, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:44:48,713 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.48009601574414523, 'aupr_all': 0.057239746693637905, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5258258258258258} best={'auroc_all': 0.48009601574414523, 'aupr_all': 0.057239746693637905, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:44:48,952 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.4897516693564292, 'aupr_all': 0.05833764409922269, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5348348348348348} best={'auroc_all': 0.4897516693564292, 'aupr_all': 0.05833764409922269, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:44:49,143 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.49962673737489505, 'aupr_all': 0.059554633810395316, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5435435435435435} best={'auroc_all': 0.49962673737489505, 'aupr_all': 0.059554633810395316, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
