2026-09-03 08:44:30,465 INFO cli={'dataset': 'amazon', 'method': 'outpost', 'seed': 8, 'train_seed': None, 'epochs': None, 'set': ['sim_topk_frac=0.0'], 'tag': 'A_sim0.0', 'rotations': None}
2026-09-03 08:44:30,465 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 25, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 0.0}
2026-09-03 08:44:33,728 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.6287248822131841, 'aupr_all': 0.08702039948935891, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6252252252252253} best={'auroc_all': 0.6287248822131841, 'aupr_all': 0.08702039948935891, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:44:33,923 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.6605865644040653, 'aupr_all': 0.1046520603229147, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6594594594594595} best={'auroc_all': 0.6605865644040653, 'aupr_all': 0.1046520603229147, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:44:34,110 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.6900789582100741, 'aupr_all': 0.1318508191049699, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7651651651651652} best={'auroc_all': 0.6900789582100741, 'aupr_all': 0.1318508191049699, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:44:34,309 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.7024077246261436, 'aupr_all': 0.14977221206857314, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7168168168168167} best={'auroc_all': 0.7024077246261436, 'aupr_all': 0.14977221206857314, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:44:34,518 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.7061532576069685, 'aupr_all': 0.14964806607076997, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7936936936936938} best={'auroc_all': 0.7061532576069685, 'aupr_all': 0.14977221206857314, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:44:34,707 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.7060638139696248, 'aupr_all': 0.15647808542768016, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7423423423423423} best={'auroc_all': 0.7061532576069685, 'aupr_all': 0.15647808542768016, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:44:34,926 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.6999984253789673, 'aupr_all': 0.15505786930515433, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7048048048048048} best={'auroc_all': 0.7061532576069685, 'aupr_all': 0.15647808542768016, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:44:35,127 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.7124170871679227, 'aupr_all': 0.16736877594142624, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8090090090090091} best={'auroc_all': 0.7124170871679227, 'aupr_all': 0.16736877594142624, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-03 08:44:35,346 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.7228697958774873, 'aupr_all': 0.16598077568110992, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7924924924924924} best={'auroc_all': 0.7228697958774873, 'aupr_all': 0.16736877594142624, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
