# gpu=7 cmd=/usr/bin/python3 -u main.py --dataset photo --seed 1 --method outpost --tag T_lr0.003 --set lr=0.003
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
Disabling PyTorch because PyTorch >= 2.1 is required but found 2.0.1
None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[utils] PPR/dgl path unavailable (libcudart.so.12: cannot open shared object file: No such file or directory); OUTPOST path unaffected.
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] anomaly classes (rotations): [0, 7]
Normal classes: [1, 2, 3, 4, 5, 6] in photo
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.5874 PR 0.1043 | unseen ROC 0.4503 PR 0.0396 | valAUC 0.6725 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.6045 PR 0.1199 | unseen ROC 0.3962 PR 0.0361 | valAUC 0.8444 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.6072 PR 0.1209 | unseen ROC 0.3979 PR 0.0362 | valAUC 0.8469 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.6045 PR 0.1224 | unseen ROC 0.3904 PR 0.0358 | valAUC 0.8517 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.6138 PR 0.1261 | unseen ROC 0.3987 PR 0.0362 | valAUC 0.8604 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.6138 PR 0.1295 | unseen ROC 0.3946 PR 0.0360 | valAUC 0.8763 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.6179 PR 0.1317 | unseen ROC 0.3946 PR 0.0361 | valAUC 0.8855 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.6161 PR 0.1406 | unseen ROC 0.3809 PR 0.0352 | valAUC 0.8947 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.4950 PR 0.0866 | unseen ROC 0.4032 PR 0.0422 | valAUC 0.7014 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.4686 PR 0.0781 | unseen ROC 0.4409 PR 0.0440 | valAUC 0.5541 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.5774 PR 0.1134 | unseen ROC 0.3730 PR 0.0352 | valAUC 0.8647 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.6236 PR 0.1461 | unseen ROC 0.3876 PR 0.0356 | valAUC 0.9237 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.6303 PR 0.1489 | unseen ROC 0.3963 PR 0.0362 | valAUC 0.8923 | tau+ 0.500
